Phone no, رقم التواصل
Items list grouped by supplier, كشف بالأصناف مجاميع موردين
Items list suppliers invoices, كشف بالأصناف - فواتير - موردين
To Date, إلي تاريخ
From Date, من تاريخ
Printed On, وقت الطباعه
Supplier, المورد
Items list customers invoices, كشف بالأصناف - فواتير - عملاء
Items list grouped by customer, كشف بالأصناف مجاميع عملاء
Pamper, الدلال
Pamper Details, تفاصيل الدلال
Pamper Name, اسم الدلال
Commissions, العمولات
Commission Total, إجمالي العمولة
Commission Invoice Reference, مرجع فاتورة العمولة
Total Commissions and Taxes, إجمالي العمولات والضرائب
Basic Info, البيانات الأساسية
Invoice Form, فاتورة الموردين
Total, الإجمالي
Payment No, رقم السند
Total Without Taxes, الإجمالي غير شامل الضريبة
Total with Taxes, الإجمالي شامل الضريبة
Items Details, تفاصيل الأصناف
Payments Details, تفاصيل الدفعات
Statement Forms, نماذج الكشوفات
Download Reports, تحميل التقارير
